地名,センター（center.csvを使わない場合は空白化）,資源,燃やすごみ,金属・陶器・ガラスごみ
あ:愛住町,新宿東清掃センター,木,火 金,土2 土4
あ:赤城下町,新宿東清掃センター,火,月 木,水1 水3
あ:赤城元町,新宿東清掃センター,火,月 木,水1 水3
あ:揚場町,新宿東清掃センター,土,月 木,水2 水4
あ:荒木町（21から23番地）,新宿東清掃センター,木,火 金,土2 土4
あ:荒木町（21から23番地を除く）,新宿東清掃センター,木,火 金,月2 月4
い:市谷加賀町1・2丁目,新宿東清掃センター,土,月 木,金2 金4
い:市谷甲良町,新宿東清掃センター,土,月 木,金2 金4
い:市谷砂土原町1から3丁目,新宿東清掃センター,土,月 木,金2 金4
い:市谷左内町,新宿東清掃センター,木,火 金,月2 月4
い:市谷鷹匠町,新宿東清掃センター,土,月 木,金2 金4
い:市谷田町1丁目,新宿東清掃センター,木,火 金,月2 月4
い:市谷田町2・3丁目,新宿東清掃センター,土,月 木,金2 金4
い:市谷台町（1、3、5、7、9、11、13番）,新宿東清掃センター,金,水 土,火2 火4
い:市谷台町（1、3、5、7、9、11、13番を除く）,新宿東清掃センター,金,水 土,木2 木4
い:市谷長延寺町,新宿東清掃センター,木,火 金,月2 月4
い:市谷仲之町,新宿東清掃センター,金,水 土,火2 火4
い:市谷八幡町,新宿東清掃センター,木,火 金,月2 月4
い:市谷船河原町（1、3から8、12、14番地）,新宿東清掃センター,土,月 木,金2 金4
い:市谷船河原町（1、3から8、12、14番地を除く）,新宿東清掃センター,土,月 木,水2 水4
い:市谷本村町,新宿東清掃センター,木,火 金,月2 月4
い:市谷薬王寺町（1から15番）,新宿東清掃センター,月,水 土,火1 火3
い:市谷薬王寺町（1から15番を除く）,新宿東清掃センター,金,水 土,火2 火4
い:市谷柳町（1から7、45、46、48から50番地、47番地の一部）,新宿東清掃センター,火,月 木,金1 金3
い:市谷柳町（8から11、23から35番地）,新宿東清掃センター,月,水 土,火1 火3
い:市谷柳町（15から22、37から43番地）,新宿東清掃センター,金,水 土,火2 火4
い:市谷柳町（47番地の一部）,新宿東清掃センター,月,水 土,木1 木3
い:市谷山伏町,新宿東清掃センター,火,月 木,金1 金3
い:岩戸町（1から8番地、25から27番地）,新宿東清掃センター,火,月 木,金1 金3
い:岩戸町（9、11から23番地、10番地の一部）,新宿東清掃センター,土,月 木,水2 水4
い:岩戸町（10番地の一部）,新宿東清掃センター,土,月 木,金2 金4
え:榎町（79番地）,新宿東清掃センター,月,水 土,火1 火3
え:榎町（79番地を除く）,新宿東清掃センター,火,月 木,金1 金3
お:大久保1丁目,歌舞伎町清掃センター,土,火 金,木1 木3
お:大久保2・3丁目,新宿清掃事務所,木,火 金,月1 月3
か:改代町,新宿東清掃センター,火,月 木,水1 水3
か:神楽河岸,新宿東清掃センター,土,月 木,水2 水4
か:神楽坂1から4丁目,新宿東清掃センター,土,月 木,水2 水4
か:神楽坂5丁目（21から24番地）,新宿東清掃センター,火,月 木,金1 金3
か:神楽坂5丁目（21から24番地を除く）,新宿東清掃センター,土,月 木,水2 水4
か:神楽坂6丁目（2から39番地）,新宿東清掃センター,火,月 木,水1 水3
